          ;       17855;   ;Filtro    ;Inicio                                  ;10012014      ;001526;190.164.95.84  ;OK ;                    ;Inicio de filtrado                                                      
          ;       17855;   ;Filtro    ;tbk_param.txt                           ;10012014      ;001526;190.164.95.84  ;OK ;                    ;Archivo parseado                                                        
          ;       17855;   ;Filtro    ;Terminado                               ;10012014      ;001526;190.164.95.84  ;OK ;                    ;Datos Filtrados con exito                                               
          ;       17855;   ;sanitiza  ;inicio                                  ;10012014      ;001526;190.164.95.84  ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       17855;   ;sanitiza  ;Array                                   ;10012014      ;001526;190.164.95.84  ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       17855;   ;sanitiza  ;Fin                                     ;10012014      ;001526;190.164.95.84  ;Ok ;                    ;Sanitizacion exitosa                                                    
9323726407;       17855;   ;pago      ;inicio                                  ;10012014      ;001526;190.164.95.84  ;OK ;597026007976        ;Parseo realizado                                                        
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001526;190.164.95.84  ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001526;190.164.95.84  ;OK ;597026007976        ;Mac generado                                                            
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001526;190.164.95.84  ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001526;190.164.95.84  ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001526;190.164.95.84  ;OK ;597026007976        ;Datos listos para ser enviados                                          
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001526;190.164.95.84  ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001530;190.164.95.84  ;OK ;597026007976        ;Datos validados                                                         
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001530;190.164.95.84  ;OK ;597026007976        ;Token=e362f06133c97d23c2f21f954a0b509d6c8bc24b677d8d7922452d545775b23b  
9323726407;       17855;   ;pago      ;https://certificacion.webpay.cl         ;10012014      ;001530;190.164.95.84  ;OK ;597026007976        ;Redireccion web                                                         
