          ;       16187;   ;Filtro    ;Inicio                                  ;26012014      ;001412;190.20.208.130 ;OK ;                    ;Inicio de filtrado                                                      
          ;       16187;   ;Filtro    ;tbk_param.txt                           ;26012014      ;001412;190.20.208.130 ;OK ;                    ;Archivo parseado                                                        
          ;       16187;   ;Filtro    ;Terminado                               ;26012014      ;001412;190.20.208.130 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       16187;   ;sanitiza  ;inicio                                  ;26012014      ;001412;190.20.208.130 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       16187;   ;sanitiza  ;Array                                   ;26012014      ;001412;190.20.208.130 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       16187;   ;sanitiza  ;Fin                                     ;26012014      ;001412;190.20.208.130 ;Ok ;                    ;Sanitizacion exitosa                                                    
0706052843;       16187;   ;pago      ;inicio                                  ;26012014      ;001412;190.20.208.130 ;OK ;597026007976        ;Parseo realizado                                                        
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001412;190.20.208.130 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001412;190.20.208.130 ;OK ;597026007976        ;Mac generado                                                            
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001412;190.20.208.130 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001412;190.20.208.130 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001412;190.20.208.130 ;OK ;597026007976        ;Datos listos para ser enviados                                          
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001412;190.20.208.130 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001414;190.20.208.130 ;OK ;597026007976        ;Datos validados                                                         
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001414;190.20.208.130 ;OK ;597026007976        ;Token=e1eb60aa92b2f7a5d470dad910b791e74047e7d3b1306f24c28103eddcf4ae4c  
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001414;190.20.208.130 ;OK ;597026007976        ;Redireccion web                                                         
0706052843;       16187;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001414;190.20.208.130 ;OK ;597026007976        ;Todo OK                                                                 
          ;       16188;   ;resultado ;Desencriptando                          ;26012014      ;001433;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       16188;   ;resultado ;Validacion                              ;26012014      ;001433;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       16188;   ;resultado ;100000055                               ;26012014      ;001433;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       16188;   ;resultado ;100000055                               ;26012014      ;001433;200.10.12.55   ;OK ;                    ;http://webpaynew.magento.cl/wakeup/cierre.php                           
706052843 ;       16188;   ;transacc  ;706052843                               ;26012014      ;001433;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
706052843 ;       16188;   ;resultado ;logro abrir_conexion                    ;26012014      ;001433;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
706052843 ;       16188;   ;transacc  ;706052843                               ;26012014      ;001433;200.10.12.55   ;OK ;597026007976        ;POST a url http://webpaynew.magento.cl/wakeup/cierre.php                
706052843 ;       16188;   ;transacc  ;706052843                               ;26012014      ;001433;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       16191;   ;check_mac ;                                        ;26012014      ;001433;72.10.32.53    ;OK ;                    ;Todo OK                                                                 
706052843 ;       16188;   ;transacc  ;706052843                               ;26012014      ;001433;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
706052843 ;       16188;   ;resultado ;100000055                               ;26012014      ;001433;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
706052843 ;       16188;   ;resultado ;100000055                               ;26012014      ;001433;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
706052843 ;       16188;   ;resultado ;100000055                               ;26012014      ;001433;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       16359;   ;Filtro    ;Inicio                                  ;26012014      ;001830;190.20.208.130 ;OK ;                    ;Inicio de filtrado                                                      
          ;       16359;   ;Filtro    ;tbk_param.txt                           ;26012014      ;001830;190.20.208.130 ;OK ;                    ;Archivo parseado                                                        
          ;       16359;   ;Filtro    ;Terminado                               ;26012014      ;001830;190.20.208.130 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       16359;   ;sanitiza  ;inicio                                  ;26012014      ;001830;190.20.208.130 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       16359;   ;sanitiza  ;Array                                   ;26012014      ;001830;190.20.208.130 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       16359;   ;sanitiza  ;Fin                                     ;26012014      ;001830;190.20.208.130 ;Ok ;                    ;Sanitizacion exitosa                                                    
0706310156;       16359;   ;pago      ;inicio                                  ;26012014      ;001830;190.20.208.130 ;OK ;597026007976        ;Parseo realizado                                                        
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001830;190.20.208.130 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001830;190.20.208.130 ;OK ;597026007976        ;Mac generado                                                            
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001830;190.20.208.130 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001830;190.20.208.130 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001830;190.20.208.130 ;OK ;597026007976        ;Datos listos para ser enviados                                          
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001830;190.20.208.130 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001832;190.20.208.130 ;OK ;597026007976        ;Datos validados                                                         
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001832;190.20.208.130 ;OK ;597026007976        ;Token=e59ab68dddb606a884a482bb738cea01bae93038c6756c04df680d09cdd4f081  
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001832;190.20.208.130 ;OK ;597026007976        ;Redireccion web                                                         
0706310156;       16359;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;001832;190.20.208.130 ;OK ;597026007976        ;Todo OK                                                                 
          ;       16379;   ;resultado ;Desencriptando                          ;26012014      ;001917;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       16379;   ;resultado ;Validacion                              ;26012014      ;001917;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       16379;   ;resultado ;100000056                               ;26012014      ;001917;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       16379;   ;resultado ;100000056                               ;26012014      ;001917;200.10.12.55   ;OK ;                    ;http://webpaynew.magento.cl/wakeup/cierre.php                           
706310156 ;       16379;   ;transacc  ;706310156                               ;26012014      ;001917;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
706310156 ;       16379;   ;resultado ;logro abrir_conexion                    ;26012014      ;001917;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
706310156 ;       16379;   ;transacc  ;706310156                               ;26012014      ;001917;200.10.12.55   ;OK ;597026007976        ;POST a url http://webpaynew.magento.cl/wakeup/cierre.php                
706310156 ;       16379;   ;transacc  ;706310156                               ;26012014      ;001917;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       16383;   ;check_mac ;                                        ;26012014      ;001918;72.10.32.53    ;OK ;                    ;Todo OK                                                                 
706310156 ;       16379;   ;transacc  ;706310156                               ;26012014      ;001918;200.10.12.55   ;OK ;597026007976        ;Llego ACK del Comercio                                                  
706310156 ;       16379;   ;resultado ;100000056                               ;26012014      ;001918;200.10.12.55   ;OK ;597026007976        ;tienda acepto transaccion                                               
706310156 ;       16379;   ;resultado ;100000056                               ;26012014      ;001918;200.10.12.55   ;OK ;597026007976        ;respuesta enviada a TBK (ACK)                                           
706310156 ;       16379;   ;resultado ;100000056                               ;26012014      ;001918;200.10.12.55   ;OK ;597026007976        ;Todo OK                                                                 
          ;       19915;   ;Filtro    ;Inicio                                  ;26012014      ;012524;190.20.208.130 ;OK ;                    ;Inicio de filtrado                                                      
          ;       19915;   ;Filtro    ;tbk_param.txt                           ;26012014      ;012524;190.20.208.130 ;OK ;                    ;Archivo parseado                                                        
          ;       19915;   ;Filtro    ;Terminado                               ;26012014      ;012524;190.20.208.130 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       19915;   ;sanitiza  ;inicio                                  ;26012014      ;012524;190.20.208.130 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       19915;   ;sanitiza  ;Array                                   ;26012014      ;012524;190.20.208.130 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       19915;   ;sanitiza  ;Fin                                     ;26012014      ;012524;190.20.208.130 ;Ok ;                    ;Sanitizacion exitosa                                                    
0710324584;       19915;   ;pago      ;inicio                                  ;26012014      ;012524;190.20.208.130 ;OK ;597026007976        ;Parseo realizado                                                        
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012524;190.20.208.130 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012524;190.20.208.130 ;OK ;597026007976        ;Mac generado                                                            
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012524;190.20.208.130 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012524;190.20.208.130 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012524;190.20.208.130 ;OK ;597026007976        ;Datos listos para ser enviados                                          
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012524;190.20.208.130 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012526;190.20.208.130 ;OK ;597026007976        ;Datos validados                                                         
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012526;190.20.208.130 ;OK ;597026007976        ;Token=ef86e65a9e98c22b6fe799c023ae7ef753e02197159cc9faddf1643dffeee234  
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012526;190.20.208.130 ;OK ;597026007976        ;Redireccion web                                                         
0710324584;       19915;   ;pago      ;https://certificacion.webpay.cl         ;26012014      ;012526;190.20.208.130 ;OK ;597026007976        ;Todo OK                                                                 
          ;       19922;   ;resultado ;Desencriptando                          ;26012014      ;012557;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       19922;   ;resultado ;Validacion                              ;26012014      ;012557;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       19922;   ;resultado ;100000057                               ;26012014      ;012557;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       19922;   ;resultado ;100000057                               ;26012014      ;012557;200.10.12.55   ;OK ;                    ;http://webpaynew.magento.cl/wakeup/cierre.php                           
