          ;        5427;   ;Filtro    ;Inicio                                  ;29102013      ;132129;190.164.186.29 ;OK ;                    ;Inicio de filtrado                                                      
          ;        5427;   ;Filtro    ;tbk_param.txt                           ;29102013      ;132130;190.164.186.29 ;OK ;                    ;Archivo parseado                                                        
          ;        5427;   ;Filtro    ;Terminado                               ;29102013      ;132130;190.164.186.29 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        5427;   ;sanitiza  ;inicio                                  ;29102013      ;132130;190.164.186.29 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        5427;   ;sanitiza  ;Array                                   ;29102013      ;132130;190.164.186.29 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        5427;   ;sanitiza  ;Fin                                     ;29102013      ;132130;190.164.186.29 ;Ok ;                    ;Sanitizacion exitosa                                                    
3063690175;        5427;   ;pago      ;inicio                                  ;29102013      ;132130;190.164.186.29 ;OK ;597026007976        ;Parseo realizado                                                        
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132130;190.164.186.29 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132130;190.164.186.29 ;OK ;597026007976        ;Mac generado                                                            
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132130;190.164.186.29 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132130;190.164.186.29 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132130;190.164.186.29 ;OK ;597026007976        ;Datos listos para ser enviados                                          
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132130;190.164.186.29 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132134;190.164.186.29 ;OK ;597026007976        ;Datos validados                                                         
3063690175;        5427;   ;pago      ;https://certificacion.webpay.cl         ;29102013      ;132134;190.164.186.29 ;OK ;597026007976        ;Token=e5dbf77340a7e6344838af5d73f2272066c413e26990f3c0c18b893d68d4f172  
